File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AdditionalImpactVFX.cs,131,128,96,28,3,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AdvWeaponHitInfo.cs,18,17,16,0,1,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AIWeaponChoose.cs,762,456,364,104,7,0,299,1319,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AmmoCookoff.cs,65,57,43,10,6,3,2,41,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AmmoEject.cs,143,136,103,21,4,0,3,3,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AmmunitionDef.cs,682,666,591,127,3,0,13,41,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AMSBallisticEffect.cs,177,170,133,23,4,0,3,3,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AMSBulletEffect.cs,124,106,79,8,17,0,1,1,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AMSBurstBallisticEffect.cs,111,109,88,9,2,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AMSLaserEffect.cs,197,188,146,23,9,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AMSMainEffect.cs,265,253,196,73,3,0,9,58,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AMSMissileEffect.cs,188,167,124,21,21,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AMSMissileLauncherEffect.cs,180,169,134,22,11,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AMSWeaponEffect.cs,435,409,313,73,26,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\ApplyHeatSinks.cs,100,98,72,11,2,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AttackSequenceImpact.cs,417,395,285,65,12,2,10,59,0,0
