File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AttackSequenceWatchdog.cs,172,169,123,18,3,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\AudioPlayer.cs,54,52,47,12,2,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\BulletBallistic.cs,88,84,75,14,4,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\CACWeaponEffect.cs,716,641,480,116,41,0,34,126,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\CheatHttpServer.cs,601,540,401,57,6,0,55,298,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\CustomDesignMask.cs,125,123,111,17,2,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\DecrementAmmo.cs,131,127,106,33,2,1,2,11,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\DynamicMap.cs,2649,2057,1672,445,12,5,580,2789,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\DynamicTrees.cs,482,460,401,95,4,0,18,57,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\ForbiddenRange.cs,12,10,9,0,2,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\FragBallisticEffect.cs,203,171,135,25,22,0,10,46,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\FragBulletEffect.cs,117,105,77,8,12,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\FragMainEffect.cs,111,108,80,15,3,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\FragWeaponEffect.cs,268,262,214,41,5,0,1,3,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\GenerateHitInfo.cs,469,457,362,88,5,0,7,28,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\GetEvasivePipsModifier.cs,58,52,39,8,3,0,3,10,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\IndirectFireCapable.cs,493,439,273,74,27,0,27,121,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\InternalClassPathes.cs,63,54,48,3,2,0,7,22,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\Jamming.cs,433,397,301,81,10,0,26,100,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\MainClass.cs,1656,1317,1057,237,27,1,312,1187,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\MessageBox.cs,84,46,62,4,4,1,34,209,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\MineFieldsMoveSequence.cs,700,552,482,107,4,0,144,476,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\MultiShotBallistic.cs,242,231,190,42,10,0,1,4,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\MultiShotBulletEffect.cs,271,258,213,29,7,0,6,52,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\NotUseInMelee.cs,189,186,129,23,3,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\OnAttackSequenceResolveDamage.cs,436,406,307,105,5,0,25,116,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\PlayProjectile.cs,135,128,97,27,5,0,2,6,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\RealAMS.cs,1345,1284,1021,237,7,2,54,265,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\RealAOE.cs,976,944,807,206,8,0,24,110,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\Shrapnel.cs,1755,852,709,187,15,1,888,3791,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\TerrainAttack.cs,480,455,334,64,9,0,16,46,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\WeaponAmmoCategory.cs,283,269,201,68,5,0,9,27,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\WeaponDef.cs,412,399,329,66,3,0,10,35,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\WeaponMode.cs,356,353,281,67,3,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\WeaponPatches.cs,565,547,363,91,4,0,14,55,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\ZombieMech.cs,72,71,58,10,1,0,0,0,0,0
C:\Games\steamapps\common\BATTLETECH\CustomAmmoCategories\CustomAmmoCategories\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
